Denier,Changeable Heel,Flare Potential,Shoe Warranty,Handle Type,Ball Quality,Bag Warranty,Bag Style,Brunswick Product Line,Fragrance,Particle Load,Performance,Roto Grip Product Line,Durometer,Viz Style,Changeable Sole,Mass Bias Diff,Finish,Storm Product Line,Brand,Ball Color,Bag Size,RG,Perfect Scale,Factory Finish,Release Date,Core Type,Laces/Easy Strap,Shoe Mfg Part #,Ball Sports League,Gender,Differential,Product ID,OTB Style,Bag Mfg Part #,Ball Warranty,name,Shoe Size Capacity,Coverstock,url,Core Name,Holds Shoes,Lane Condition,Breakpoint Shape,Shoe Color,Bowling Hand (Shoes),Coverstock Name,Bag Color
,,Medium-High,,,First Quality,,,,,,High Performance[8],,,,,0.025,Polished,,Radical,Purple/Black,,2.47,208.1,1500 Grit Polished,12/05/2011,Asymmetric,,,,,0.045,10100,,,,Radical Slant Hybrid,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/radical/10100/slant-hybrid.html,Booster,,Medium-Heavy,,,,Soaker Hybrid Coverstock,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,High Polish,,Brunswick,Red/Orange,,2.602,157.6,High Gloss,06/01/2012,Symmetric,,,,,0.017,10416,,,,Brunswick Slingshot Red/Orange,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/10416/slingshot-redorange.html,Balloon,,Medium,,,,PowrKoil 17 Reactive,
,,Medium High,,,First Quality,,,,,,High Performance[8],,,,,.018,Polished,,Ebonite,Red/Gold Pearl,,2.53,199.7,"800 Abranet, 1000 Abralon, 2000 Abralon – Polished",07/12/2011,Asymmetric,,,,,.048,9503,,,,Ebonite Signals,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/9503/signals.html,Vital Mass Bias,,Medium,Clean with Strong Back-End Motion,,,High Traction Reactive-1,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,Polished,,Brunswick,Red/Silver,,2.602,157.6,High Gloss,03/15/2010,Symmetric,,,,,0.017,8151,,,1 Year,Brunswick Slingshot Red/Silver,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/8151/slingshot-redsilver.html,Balloon,,Medium,,,,PowrKoil 17 Reactive,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,Polished,,Brunswick,Silver/Black,,2.602,157.6,High Gloss,03/15/2010,Symmetric,,,,,0.017,8150,,,1 Year,Brunswick Slingshot Silver/Black,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/8150/slingshot-silverblack.html,Balloon,,Medium,,,,PowrKoil 17 Reactive,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,Polished,,Brunswick,Purple Pearl,,2.602,157.6,High Gloss,05/18/2011,Symmetric,,,,,0.017,9293,,,1 Year,Brunswick Slingshot Purple Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/9293/slingshot-purple-pearl.html,Balloon,,Medium,,,,PowrKoil 17 Reactive,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Columbia 300,Purple/Silver/Purple Pearl,,2.51,195.22,"500, 500 Abranet, 2000, 2000 Abralon",07/09/2013,Symmetric,,,,,0.053,10840,,,1 Year,Columbia 300 Smack Down,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/columbia-300/10840/smack-down.html,SD Medium RG,,Medium-Heavy,,,,Bring-It Hybrid,
,,,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Blue Pearl,,2.54,147.8,,06/02/2009,Symmetric,,,,,.042,7187,,,,Ebonite Smash,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/7187/smash.html,Cylinder Shape,,Medium,Good Length with Backend Reaction,,,Phazed Bomber Reactive,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,Ebonite,Black/Purple/Red,,2.440,165.6,,06/15/2006,,,,,,,4453,,,,Ebonite Smash Time,,Particle,https://www.bowlingball.com/products/bowling-balls/ebonite/4453/smash-time.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Ebonite,Purple/Red/Silver,,2.510,166.9,,12/01/2006,Asymmetric,,,,,,4981,,,,Ebonite Smash Time Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/4981/smash-time-pearl.html,Asymmetric Sphere with Dual Caps,,Medium-Heavy,,,,Modified Big Bang Reactive,
,,,,,First Quality,,,,,,Entry Performance[2],,,,,,Polished,,AMF 300,Blue/Gold Pearl,,2.67,69.9,600 Grit Sandpaper w/ 2000 Grit Polish,06/14/2010,Symmetric,,,,,0.024,8548,,,,AMF 300 Smoke Blue/Gold,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/amf-300/8548/smoke-bluegold.html,3 Piece Pancake,,Medium-Dry,,,,F28 Reactive,
,,,,,First Quality,,,Pro Performance,,,High Performance[8],,76-77,,,,High Polish,,Brunswick,Black Pearl,,2.511,203.5,High Gloss Polish,07/31/2008,Asymmetric,,,,,0.047,6322,,,,Brunswick Smash Zone,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/6322/smash-zone.html,Updated version of the original Inferno,,Medium-Heavy,70,,,EnMotion,
,,High,,,First Quality,,,,,,High Performance[8],,72-74D,,,,Polished,,PBS,Black/Gold/Silver,,2.49,201.5,2000 Grit Polished,,Symmetric,,,,,0.055,12441,,,1 Year,PBS Sniper SG 550,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pbs/12441/sniper-sg-550.html,The Frag,,Medium,Skid/Flip,,,Pearl Reactive,
,,High,,,First Quality,,,,,,Pro Performance[10],,72-74D,,,0.015,Polished,,PBS,Black/Green,,2.48,215.9,2000 Grit Polished,,Asymmetric,,,,,0.055,12442,,,1 Year,PBS Sniper M24,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/pbs/12442/sniper-m24.html,Ballistic,,Heavy,Length with Smooth Backend,,,Solid Reactive,
,,"2-3""",,,First Quality,,,,,,Entry Performance[2],,,,,,Polished,,AMF 300,Purple/Red,,2.67,69.9,600 Grit Sandpaper w/ 2000 Grit Polish,07/20/2009,Symmetric,,,,,0.024,7293,,,,AMF 300 Smoke Purple/Red,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/amf-300/7293/smoke-purplered.html,3 Piece Pancake,,Medium-Dry,,,,F28 Reactive,
,,,,,First Quality,,,,,,High Performance[8],,,,,,High Polish,,Brunswick,Black Pearl,,2.511,203.5,,07/31/2008,,,,,,,7016,,,,Brunswick Smash Zone Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/7016/smash-zone-blem.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Matte,,900 Global,Black/White Soccer Ball,,,5.00,,05/05/2010,,,,,,,8387,,,1 Year,900 Global Soccer Ball,,Plastic,https://www.bowlingball.com/products/bowling-balls/900-global/8387/soccer-ball.html,,,Dry,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,0.014,Matte,,AMF 300,Sunburst Orange,,2.50,189.9,neaT (4000 Grit),07/03/2013,Asymmetric,,,,,0.040,11021,,,1 Year,AMF 300 Solar Flare,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/amf-300/11021/solar-flare.html,,,Medium,Length with Backend,,,F62 Pearl,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,.041,Matte,,Morich,Brute Blue,,2.530,204.5,,03/12/2008,Asymmetric,,,,,.041,6178,,,,Morich Solid LevRG,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/morich/6178/solid-levrg.html,EZ Rev,,Medium-Heavy,,,,Spectrum Reactive,
,,,,,Second,,,,,,Pro Performance[10],,,,,.041,Matte,,Morich,Brute Blue,,2.530,204.5,,03/12/2008,,,,,,.041,7518,,,,Morich Solid LevRG X Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/morich/7518/solid-levrg-x-blem.html,EZ Rev,,Medium-Heavy,,,,Spectrum Reactive,
,,,,,First Quality,,,,,,Performance[4],,,,,,Sanded,,Track,Purple/Blue/White,,2.500,132.9,,,,,,,,,3623,,,,Track Solution Power Plus,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/track/3623/solution-power-plus.html,,,Medium,,,,,
,,,,,Second,,,,,,,,,,,,Polished,,Track,Teal/Gray,,2.500,122.0,,,,,,,,,4314,,,,Track Solution Power Plus EX 2nd,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/track/4314/solution-power-plus-ex-2nd.html,,,Medium,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Storm,Black/Sapphire/Violet,,2.460,189.9,,,,,,,,,5047,,,,Storm Special Agent Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/5047/special-agent-pro-pin.html,,,Medium-Heavy,,,,,
,,Medium-High,,,First Quality,,,,,,Advanced Performance[6],,,,,0.013,Polished,,Ebonite,Black/Purple Pearl,,2.49,193.91,"800, 1000, 2000 w/ Factory Finish Polish",06/11/2013,Asymmetric,,,,,0.050,10818,,,,Ebonite Source,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/10818/source.html,Mission 1.0,,Medium,,,,XL2000,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,Viz-A-Ball,Spiderman,,0.000,5.0,,03/30/2007,,,,,,,1903,,,,Viz-A-Ball SPIDERMAN LTD Ed,,Plastic,https://www.bowlingball.com/products/bowling-balls/viz-a-ball/1903/spiderman-ltd-ed.html,,,Dry,,,,,
,,"5-6"" (High)",,,First Quality,,,,Apple Cinnamon,,Advanced Performance[6],,,,,,Polished,Fire,Storm,Green / Silver,,2.540,150.0,1500-Grit Polished,,Symmetric,,,,,0.050,4651,,,,Storm Spit Fire,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/4651/spit-fire.html,Inverted Twin-V,,Medium,,,,Reactor Pearl,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Storm,Black/Sapphire/Violet,,2.460,189.9,,11/21/2006,Symmetric,,,,,,4975,,,,Storm Special Agent,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/4975/special-agent.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,Viz-A-Ball,Pink/Pink/Green Spiral,,,5.0,,08/15/2011,,,,,,,9734,,,,Viz-A-Ball Spiral Pink/Pink/Green,,Plastic,https://www.bowlingball.com/products/bowling-balls/viz-a-ball/9734/spiral-pinkpinkgreen.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,Ebonite,Black/Green/Royal Blue,,2.580,199.7,,06/15/2006,Symmetric,,,,,,4451,,,,Ebonite SR300,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/4451/sr300.html,SR Symmetric Mass Bias,,Medium-Heavy,,,,GB 10.7,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,Viz-A-Ball,Stormtroopers/X-wings/Death Star,,0.000,5.0,,,,,,,,,4093,,,,Viz-A-Ball Star Wars Episode IV,,Plastic,https://www.bowlingball.com/products/bowling-balls/viz-a-ball/4093/star-wars-episode-iv.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,Viz-A-Ball,Princess Leia/Padme Amidala,,0.000,5.0,,,,,,,,,4395,,,1 Year,Viz-A-Ball Star Wars Princess Leia,,Plastic,https://www.bowlingball.com/products/bowling-balls/viz-a-ball/4395/star-wars-princess-leia.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,Viz-A-Ball,C-3PO/R2-D2/Wicket the Ewok,,0.000,5.0,,,,,,,,,4957,,,,Viz-A-Ball Star Wars Episode VI,,Plastic,https://www.bowlingball.com/products/bowling-balls/viz-a-ball/4957/star-wars-episode-vi.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,Viz-A-Ball,White/Black,,0.000,5.0,,,,,,,,,6676,,,,Viz-A-Ball Stars White/Black,,Plastic,https://www.bowlingball.com/products/bowling-balls/viz-a-ball/6676/stars-whiteblack.html,,,Dry,,,,,
,,"5""+",,,First Quality,,,,,,Pro Performance[10],,,,,0.027,Sanded,,Lane #1,Black/Silver,,2.530,218.5,NEAT-E,07/06/2012,Asymmetric,,,,,0.050,10429,,,,Lane #1 Stealth Bomber,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/lane-1/10429/stealth-bomber.html,Stealth Diamond,,Heavy,,,,Hight Friction Hybrid Composite,
,,,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Brunswick,Blue/Silver,,,156.2,,,,,,,,,6283,,,,Brunswick Sting Zone Blue Pearl/Silver  - Overseas Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/6283/sting-zone-blue-pearlsilver-overseas-release.html,,,Medium,,,,,
,,,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Brunswick,Black/Red,,,156.2,,,,,,,,,6284,,,,Brunswick Sting Zone Black Pearl /Red Pearl - Overseas Release - bowlingball.com Exclusive,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/6284/sting-zone-black-pearl-red-pearl-overseas-release-bowlingballcom-exclusive.html,,,Medium,,,,,
,,"5""+",,,First Quality,,,,,,Pro Performance[10],,,,,0.027,,,Lane #1,Carbon Fiber,,2.530,215.5,NEAT-T,10/30/2012,Asymmetric,,,,,0.050,10618,,,,Lane #1 Stealth Bomber Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/lane-1/10618/stealth-bomber-pearl.html,Stealth Diamond,,Medium-Heavy,,,,Bleeder 9.7 Pearl,
,,3â€ - 4â€ (Medium),,,First Quality,,,,Strawberry,,Advanced Performance[6],,74-76,,,,Polished,,Storm,Blue/Red Pearl,,2.55,174.5,1500-grit Polish,04/28/2008,Symmetric,,,,,0.038,7362,,,,Storm Street Rod Pearl Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/7362/street-rod-pearl-pro-pin.html,Turbineâ„¢,,Medium,,,,Reactorâ„¢ Pearl Reactive,
,,3â€ - 4â€ (Medium),,,First Quality,,,,Blueberry,,Advanced Performance[6],,74-76,,,,Matte,Hot,Storm,Blue/Black,,2.55,181.6,2000-grit Abralonâ„¢,04/28/2008,Symmetric,,,,,0.038,6285,,,,Storm Street Rod,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/6285/street-rod.html,Turbineâ„¢,,Medium-Heavy,,,,Reactorâ„¢ Solid Reactive,
,,3â€ - 4â€ (Medium),,,Second,,,,Strawberry,,Advanced Performance[6],,74-76,,,,Polished,Hot,Storm,Blue/Red Pearl,,2.55,174.5,1500-grit Polish,,Symmetric,,,,,0.038,7388,,,,Storm Street Rod Pearl X-Comp,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/7388/street-rod-pearl-x-comp.html,Turbineâ„¢,,Medium,,,,Reactorâ„¢ Pearl Reactive,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Sanded,,AZO,Red/Purple,,2.570,168.4,2000-grit Abralonâ„¢,10/20/2009,Symmetric,,,,,.048,7621,,,,AZO Strike,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/azo/7621/strike.html,Eolotropic Symmetrical,,Medium,,,,SHP Solid Reactive,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,High Polish,,Brunswick,Emerald Pearl,,2.578,179.7,500 Siaair; Rough Buff; High Gloss Polish,05/07/2014,Symmetric,,,,,0.028,11423,,,1 Year,Brunswick Strike King Emerald Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/11423/strike-king-emerald-pearl.html,Strike King,,Medium-Dry,,,,SK13 Reactive,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,High Polish,,Brunswick,Black Pearl,,2.578,179.7,500 Siaair; Rough Buff; High Gloss Polish,05/13/2013,Symmetric,,,,,0.028,10777,,,1 Year,Brunswick Strike King Black Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/10777/strike-king-black-pearl.html,Strike King,,Medium-Dry,,,,SK13 Reactive,
,,3â€ - 4â€ (Medium),,,First Quality,,,,Blueberry,,Advanced Performance[6],,74-76,,,,Matte,,Storm,Blue/Black,,2.55,181.6,2000-grit Abralonâ„¢,04/28/2008,Symmetric,,,,,0.038,7416,,,,Storm Street Rod X-Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/7416/street-rod-x-blem.html,Turbineâ„¢,,Medium-Heavy,,,,Reactorâ„¢ Solid Reactive,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,AZO,Red/Gold Pearl,,2.57,188.9,1500 Grit Polished,09/01/2010,Symmetric,,,,,.048,8872,,,,AZO Strike Tour,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/azo/8872/strike-tour.html,Eolotropic Symmetrical,,Medium,,,,SHP Pearl Reactive,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,High Polish,,Brunswick,Purple/Pink Pearl,,2.578,179.7,500 Siaair; Rough Buff; High Gloss Polish,05/13/2013,Symmetric,,,,,0.028,10779,,,1 Year,Brunswick Strike King Purple/Pink Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/10779/strike-king-purplepink-pearl.html,Strike King,,Medium-Dry,,,,SK13 Reactive,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,High Polish,,Brunswick,Blue/Red Pearl,,2.578,179.7,500 Siaair; Rough Buff; High Gloss Polish,05/13/2013,Symmetric,,,,,0.028,10780,,,1 Year,Brunswick Strike King Blue/Red Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/10780/strike-king-bluered-pearl.html,Strike King,,Medium-Dry,,,,SK13 Reactive,
,,,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,High Polish,,Brunswick,Red/Gold Pearl,,2.578,179.7,500 Siaair; Rough Buff; High Gloss Polish,05/13/2013,Symmetric,,,,,0.028,10778,,,1 Year,Brunswick Strike King Red/Gold Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/10778/strike-king-redgold-pearl.html,Strike King,,Medium-Dry,,,,SK13 Reactive,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Sanded,,Brunswick,Blue/Black,,2.505,203.7,,,,,,,,,3127,,,,Brunswick Strike Zone,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/3127/strike-zone.html,,,Heavy,,,,,
,,3â€ - 4â€ (Medium),,,First Quality,,,,Strawberry,,Advanced Performance[6],,74-76,,,,Polished,Hot,Storm,Blue/Red Pearl,,2.55,174.5,1500-grit Polish,04/28/2008,Symmetric,,,,,0.038,6286,,,,Storm Street Rod Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/6286/street-rod-pearl.html,Turbineâ„¢,,Medium,,,,Reactorâ„¢ Pearl Reactive,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,,Matte,,Ebonite,Navy Blue,,2.56,201.5,,11/11/2008,Asymmetric,,,,,,6831,,,,Ebonite Striking Motion,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/6831/striking-motion.html,,,Medium-Heavy,,,,,
,,"6"" Plus (High)",,,Second,,,,,,High Performance[8],,75-77 Rex D-scale,,,0.026,Polished,,Storm,Green/Purple/Blue,,2.51,189.8,2000 Abralon Polished,,Asymmetric,,,,,0.048,7382,,,,Storm Super Domination 2nd,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/7382/super-domination-2nd.html,RAD+â„¢,,Medium-Heavy,,,,R2Xâ„¢ Solid with E.T.H.,
,,3â€ - 4â€ (Medium),,,First Quality,,,,Strawberry,,Advanced Performance[6],,74-76,,,,Polished,,Storm,Blue/Red Pearl,,2.55,174.5,1500-grit Polish,04/28/2008,,,,,,0.038,7404,,,,Storm Street Rod Pearl X-Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/7404/street-rod-pearl-x-blem.html,Turbineâ„¢,,Medium,,,,Reactorâ„¢ Pearl Reactive,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,OTB,,,,5.0,,04/10/2013,,,,,,,10771,SuperMan,,,OTB Supergirl,,Plastic,https://www.bowlingball.com/products/bowling-balls/otb/10771/supergirl.html,,,Dry,,,,,
,,"6"" Plus (High)",,,First Quality,,,,,,High Performance[8],,75-77 Rex D-scale,,,0.026,Polished,Premier,Storm,Green/Purple/Blue,,2.51,189.8,2000 Abralon Polished,,Asymmetric,,,,,0.048,7381,,,,Storm Super Domination Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/7381/super-domination-pro-pin.html,RAD+â„¢,,Medium-Heavy,,,,R2Xâ„¢ Solid with E.T.H.,
,,"6"" Plus (High)",,,First Quality,,,,,,High Performance[8],,75-77 Rex D-scale,,,0.026,Polished,,Storm,Green/Purple/Blue,,2.51,189.8,2000 Abralon Polished,,Asymmetric,,,,,0.048,7387,,,,Storm Super Domination Pro CG,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/7387/super-domination-pro-cg.html,RAD+â„¢,,Medium-Heavy,,,,R2Xâ„¢ Solid with E.T.H.,
,,7 + Inches (High),,,Second,,,,,,Pro Performance[10],,73 - 75 Rex D-scale,,,0.018,Polished,,Roto Grip,Turquoise / Navy / Black,,2.52,205.5,1500 Polished,,Asymmetric,,,,,0.056,7513,,,,Roto Grip Strike Cell X Blem MBA,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/7513/strike-cell-x-blem-mba.html,Nucleusâ„¢,,Heavy,,,,Cytoplasmicâ„¢ Hybrid Reactive,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,OTB,,,,5.0,,04/10/2013,,,,,,,10768,SuperMan,,,OTB Superman Justice League,,Plastic,https://www.bowlingball.com/products/bowling-balls/otb/10768/superman-justice-league.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,OTB,,,,5.0,,04/10/2013,,,,,,,10769,SuperMan,,,OTB Superman Villains,,Plastic,https://www.bowlingball.com/products/bowling-balls/otb/10769/superman-villains.html,,,Dry,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Quantum,Red Pearl/Black Pearl,,2.600,172.5,,08/15/2006,,,,,,,4646,,,,Quantum Supreme - Overseas Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/quantum/4646/supreme-overseas-release.html,,,Medium,,,,,
,,5â€ - 6â€ (High),,,First Quality,,,,Pi,,Advanced Performance[6],,74-76 Rex D-scale,,,,Matte,,Storm,Black/Copper,,2.574,161.2,4000-grit Matte,09/12/2007,,,,,,,5974,,,,Storm Sure Fire Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/5974/sure-fire-pro-pin.html,Inverted Twin-Vâ„¢,,Medium,,,,R2Sâ„¢ Hybrid Reactive,
,,5 - 6 (High),,,First Quality,,,,,,Advanced Performance[6],,74-76 Rex D-scale,,,,Polished,Fire,Storm,Black/Copper,,2.54,161.2,4000-grit Matte,09/12/2007,,,,,,0.050,5430,,,,Storm Sure Fire,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/5430/sure-fire.html,Inverted Twin-V,,Medium,,,,R2S Hybrid Reactive,
,,5â€ - 6â€ (High),,,Second,,,,Pi,,Advanced Performance[6],,74-76 Rex D-scale,,,,Matte,,Storm,Black/Copper,,2.574,161.2,4000-grit Matte,09/12/2007,,,,,,,6954,,,,Storm Sure Fire X-Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/6954/sure-fire-x-blem.html,Inverted Twin-Vâ„¢,,Medium,,,,R2Sâ„¢ Hybrid Reactive,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Hammer,Black/Red/Carmel,,2.50,199.1,800/1000/2000 Abralon,10/05/2010,Asymmetric,,,,,.060,8893,,,,Hammer Swagga,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/hammer/8893/swagga.html,Widow Core,,Heavy,,,,Level 2 Reactive,
,,"6""+ (High)",,,First Quality,,,,Iced Cranberry,,Pro Performance[10],,73-75 Rex D-Scale,,,0.028,Matte,Premier,Storm,Cranberry/Tangerine/Black,,2.47,224.9,4000-Grit Abralon,02/05/2013,Asymmetric,,,,,0.058,10680,,,,Storm Sync,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/10680/sync.html,G2,,Heavy,,,,NRG Solid Reactive,
,,,,,Second,,,,,,Advanced Performance[6],,76-78,,,,Polished,,Brunswick,Black Pearl / Yellow Pearl,,2.550,159.3,High Gloss,06/23/2008,Symmetric,,,,,0.041,7510,,,,Brunswick Swarm Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/7510/swarm-blem.html,Multi-Sided Honeycomb Core,,Medium,75,,,PowrKoil 18,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,900 Global,Navy/Oyster,,2.494,165.9,2000 Abralon,07/05/2012,Symmetric,,,,,0.043,10425,,,,900 Global Sure Thing,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/900-global/10425/sure-thing-mega-deal.html,Low RG Core,,Medium-Heavy,,,,S57 Reactive Hybrid,
,,,,,First Quality,,,Advanced Performance,,,Advanced Performance[6],,76-78,,,,Polished,,Brunswick,Black Pearl / Yellow Pearl,,2.550,159.3,High Gloss,06/23/2008,Symmetric,,,,,0.041,6312,,,,Brunswick Swarm,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/6312/swarm.html,Multi-Sided Honeycomb Core,,Medium,75,,,PowrKoil 18,
,,Medium-High,,,First Quality,,,,,,Pro Performance[10],,,,,0.007,Matte,,Columbia 300,Solid Black/Scarlet/Navy,,2.47,230.2,500/1000/2000 Abralon,09/15/2015,Asymmetric,,,,,0.052,12261,,,,Columbia 300 Swerve,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/12261/swerve-12-only.html,Swerve,,Medium-Heavy,Strong Mid-lane with Predictability,,,Reflex Solid,
,,,,,First Quality,,,Polyester,,,Polyester[0],,,,,,High Polish,,Brunswick,,,2.715,5.0,,05/13/2013,Symmetric,,,,,0.019,10782,,,1 Year,Brunswick T Zone Blue Lagoon,,Plastic,https://www.bowlingball.com/products/bowling-balls/brunswick/10782/t-zone-blue-lagoon.html,,,Dry,,,,,
,,,,,First Quality,,,Polyester,,,Polyester[0],,,,,,High Polish,,Brunswick,Mixed Berry,,2.715,5.0,,05/10/2011,Symmetric,,,,,0.019,9296,,,,Brunswick T Zone Mixed Berry,,Plastic,https://www.bowlingball.com/products/bowling-balls/brunswick/9296/t-zone-mixed-berry.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,0.007,Polished,,Columbia 300,Blue/Teal/Smoke Pearls,,2.47,220.9,500/2000 Abralon w/Powerhouse Factory Finish Polish,02/02/2016,Asymmetric,,,,,0.052,12460,,,1 Year,Columbia 300 Swerve FX,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/columbia-300/12460/swerve-fx.html,Swerve,,Medium-Heavy,Strong Continuous Hook,,,Reflex Pearl,
